scene,i,j,pi_xyz,pj_xyz,unet_ij_tau_rms_ns,unet_ji_tau_rms_ns,unet_absdiff_tau_rms_ns,unet_valid,sionna_ij_tau_rms_ns,sionna_ji_tau_rms_ns,sionna_absdiff_tau_rms_ns,sionna_valid
random_000,0,1,"27.500,23.750,1.562","36.250,17.500,1.562",11.138998031616211,12.031822204589844,0.8928241729736328,1,17.22232437133789,18.829076766967773,1.6067523956298828,1
random_000,0,2,"27.500,23.750,1.562","35.000,13.750,2.188",14.90507698059082,12.055440902709961,2.8496360778808594,1,28.540916442871094,25.44746208190918,3.093454360961914,1
random_000,0,3,"27.500,23.750,1.562","35.625,20.000,0.938",11.415000915527344,10.958927154541016,0.4560737609863281,1,17.52803611755371,18.35938835144043,0.8313522338867188,1
random_000,0,4,"27.500,23.750,1.562","18.125,29.375,1.562",18.38720703125,15.257111549377441,3.1300954818725586,1,26.684383392333984,29.675735473632812,2.991352081298828,1
random_000,0,5,"27.500,23.750,1.562","18.125,12.500,2.188",17.07489013671875,21.33489990234375,4.260009765625,1,34.551578521728516,28.06765365600586,6.483924865722656,1
random_000,0,6,"27.500,23.750,1.562","26.250,36.250,0.312",12.382946014404297,12.058950424194336,0.32399559020996094,1,18.188596725463867,18.42059898376465,0.23200225830078125,1
random_000,0,7,"27.500,23.750,1.562","23.125,10.625,0.312",13.611380577087402,19.938886642456055,6.327506065368652,1,25.203432083129883,27.300235748291016,2.096803665161133,1
random_000,0,8,"27.500,23.750,1.562","28.125,1.250,2.188",10.185413360595703,17.164382934570312,6.978969573974609,1,20.76526641845703,20.373899459838867,0.39136695861816406,1
random_000,0,9,"27.500,23.750,1.562","1.250,31.875,0.312",18.943262100219727,21.529932022094727,2.586669921875,1,17.88028335571289,17.21369171142578,0.6665916442871094,1
random_000,0,10,"27.500,23.750,1.562","25.625,33.750,1.562",11.84034538269043,12.174095153808594,0.33374977111816406,1,17.154197692871094,15.519567489624023,1.6346302032470703,1
random_000,0,11,"27.500,23.750,1.562","29.375,6.250,1.562",11.317489624023438,18.546886444091797,7.229396820068359,1,22.708715438842773,24.171131134033203,1.4624156951904297,1
random_000,0,12,"27.500,23.750,1.562","31.875,11.250,0.938",12.724573135375977,13.988165855407715,1.2635927200317383,1,22.193248748779297,23.409101486206055,1.2158527374267578,1
random_000,0,13,"27.500,23.750,1.562","24.375,10.000,1.562",12.85699462890625,19.295696258544922,6.438701629638672,1,24.629776000976562,25.477380752563477,0.8476047515869141,1
random_000,0,14,"27.500,23.750,1.562","30.000,16.875,0.938",10.72763442993164,10.558238983154297,0.16939544677734375,1,16.351701736450195,17.896127700805664,1.5444259643554688,1
