scene,model,n_pairs,n_valid,frac_valid,mean_abs,median_abs,p95_abs,max_abs,n_asym_nopath
random_000,unet_tau_rms,435,435,1.0,2.3224663734436035,1.8157148361206055,6.360864734649653,14.030468940734863,0
random_000,sionna_tau_rms,435,435,1.0,1.7017823457717896,1.1631736755371094,4.545552825927726,22.019084930419922,0
random_001,unet_tau_rms,435,435,1.0,2.189089059829712,1.5268964767456055,6.6866594314575165,9.834358215332031,0
random_001,sionna_tau_rms,435,435,1.0,2.725785732269287,1.5613937377929688,9.11174316406249,23.659727096557617,0
random_002,unet_tau_rms,435,435,1.0,2.036843776702881,1.387186050415039,6.153620719909668,8.97117805480957,0
random_002,sionna_tau_rms,435,435,1.0,1.9742937088012695,1.118621826171875,6.103729152679443,25.06845474243164,0
random_003,unet_tau_rms,435,435,1.0,2.1048622131347656,1.5251178741455078,6.086702251434325,10.288348197937012,0
random_003,sionna_tau_rms,435,435,1.0,2.596637487411499,1.7176475524902344,8.752161407470687,23.294565200805664,0
random_004,unet_tau_rms,435,435,1.0,2.4643168449401855,1.8291702270507812,6.248280143737793,8.231308937072754,0
random_004,sionna_tau_rms,435,435,1.0,1.813140630722046,1.1819725036621094,5.22217149734497,19.930166244506836,0
random_005,unet_tau_rms,435,435,1.0,2.6873764991760254,2.022655487060547,7.231871747970579,12.461010932922363,0
random_005,sionna_tau_rms,435,435,1.0,2.138627529144287,1.3825340270996094,5.399208641052242,32.3818359375,0
random_006,unet_tau_rms,435,435,1.0,2.6832058429718018,2.021953582763672,8.376065444946287,14.588680267333984,0
random_006,sionna_tau_rms,435,435,1.0,2.102086305618286,1.2826347351074219,6.685050964355467,24.46843147277832,0
random_007,unet_tau_rms,435,435,1.0,3.0542683601379395,2.1177377700805664,8.954847812652583,13.396523475646973,0
random_007,sionna_tau_rms,435,435,1.0,1.917921781539917,1.001617431640625,7.362474632263181,22.059181213378906,0
random_008,unet_tau_rms,435,435,1.0,2.2747230529785156,1.8542022705078125,6.1083470344543445,9.12388801574707,0
random_008,sionna_tau_rms,435,435,1.0,1.7473286390304565,1.1847572326660156,5.013683128356931,29.96910285949707,0
random_009,unet_tau_rms,435,435,1.0,1.8956775665283203,1.4588403701782227,5.4070585250854455,9.044434547424316,0
random_009,sionna_tau_rms,435,435,1.0,2.6289756298065186,1.5089969635009766,9.146641921997066,27.068492889404297,0
ALL,unet_tau_rms,4350,4350,1.0,2.3712828159332275,1.7275176048278809,6.839016914367676,14.588680267333984,0
ALL,sionna_tau_rms,4350,4350,1.0,2.134657859802246,1.292494773864746,6.915489673614503,32.3818359375,0
